puzzle_id,prompt_style,book_move,generated_move,topprob_move,book_move_rank,book_move_logprob,topprob_logprob,generated_move_logprob,margin_book_vs_top,book_move_in_top1,book_move_in_top3,book_move_in_top5,generated_equals_topprob
itDJv,scoring_only,g2f1,,g2f1,1,-21.28125,-21.28125,,0.0,True,True,True,False
WWNuA,scoring_only,h7h8,,g7g6,2,-19.22265625,-18.765625,,-0.45703125,False,True,True,False
27mZU,scoring_only,b4e1,,e6d7,7,-25.078125,-19.6796875,,-5.3984375,False,False,False,False
GjeRT,scoring_only,g4f3,,e8d8,7,-23.90625,-19.3046875,,-4.6015625,False,False,False,False
vDBk4,scoring_only,b7b5,,b7b5,1,-18.20703125,-18.20703125,,0.0,True,True,True,False
dZAWw,scoring_only,b8b6,,g8f8,3,-20.4453125,-19.15625,,-1.2890625,False,True,True,False
QwfQg,scoring_only,e2e4,,e2e4,1,-14.8544921875,-14.8544921875,,0.0,True,True,True,False
qddOZ,scoring_only,d4c5,,g7g6,6,-23.5625,-19.3046875,,-4.2578125,False,False,False,False
LQ1DK,scoring_only,e6e5,,e6e5,1,-17.93359375,-17.93359375,,0.0,True,True,True,False
Aveae,scoring_only,e6e5,,c7b5,2,-17.58984375,-16.890625,,-0.69921875,False,True,True,False
Uvvcu,scoring_only,c7c8q,,d7d8,5,-23.046875,-20.078125,,-2.96875,False,False,True,False
ki2l1,scoring_only,c2c5,,c2c5,1,-19.31640625,-19.31640625,,0.0,True,True,True,False
MJWFH,scoring_only,b5b4,,a6a5,2,-21.17578125,-19.92578125,,-1.25,False,True,True,False
DdeT2,scoring_only,b4b3,,g8g7,7,-25.25,-17.6171875,,-7.6328125,False,False,False,False
T3WAo,scoring_only,g7b7,,g7g8,6,-23.1484375,-18.90234375,,-4.24609375,False,False,False,False
T1Yv7,scoring_only,c4b5,,c4c5,4,-21.8671875,-20.00390625,,-1.86328125,False,False,True,False
p2RG8,scoring_only,a5b4,,a5b4,1,-21.828125,-21.828125,,0.0,True,True,True,False
gXW2k,scoring_only,b3b2,,c3c4,6,-24.53125,-20.5234375,,-4.0078125,False,False,False,False
xQNjx,scoring_only,e3h3,,e7e8,7,-25.6484375,-16.421875,,-9.2265625,False,False,False,False
shDt9,scoring_only,f5f6,,f5f6,1,-21.265625,-21.265625,,0.0,True,True,True,False
y4vck,scoring_only,f3e4,,g6g7,4,-23.0546875,-22.3203125,,-0.734375,False,False,True,False
mWLmD,scoring_only,g4d1,,h5g6,7,-25.9375,-21.5546875,,-4.3828125,False,False,False,False
TbN5O,scoring_only,d3e5,,g7g5,7,-23.6328125,-17.8515625,,-5.78125,False,False,False,False
vJaUr,scoring_only,b3b8,,a8a7,3,-24.890625,-17.8984375,,-6.9921875,False,True,True,False
ayVZn,scoring_only,d7c6,,d7d8,2,-18.0390625,-17.9140625,,-0.125,False,True,True,False
Jvi0t,scoring_only,g5g4,,f6f5,4,-22.1328125,-19.28125,,-2.8515625,False,False,True,False
ON7OP,scoring_only,b4b5,,b4b5,1,-23.828125,-23.828125,,0.0,True,True,True,False
LIlmt,scoring_only,c2b1,,c2b1,1,-19.0625,-19.0625,,0.0,True,True,True,False
Twkjy,scoring_only,e4e3,,b7c6,3,-21.515625,-20.5234375,,-0.9921875,False,True,True,False
bKS8S,scoring_only,c6f6,,e8e5,5,-23.640625,-18.7578125,,-4.8828125,False,False,True,False
b5fDe,scoring_only,h7h6,,e7e8,4,-17.953125,-16.16796875,,-1.78515625,False,False,True,False
kQy45,scoring_only,f3f2,,g3f4,4,-25.25,-22.78515625,,-2.46484375,False,False,True,False
UztgU,scoring_only,g8f7,,g8h7,2,-16.828125,-16.8193359375,,-0.0087890625,False,True,True,False
8sE0T,scoring_only,d7c6,,d7d4,3,-20.4296875,-20.09375,,-0.3359375,False,True,True,False
nJvGB,scoring_only,f3g4,,f3e4,3,-23.83203125,-22.69921875,,-1.1328125,False,True,True,False
6uPrP,scoring_only,e4d3,,e4e5,6,-23.90625,-21.2734375,,-2.6328125,False,False,False,False
2jYi7,scoring_only,d5d4,,d5d4,1,-20.22265625,-20.22265625,,0.0,True,True,True,False
L9eN5,scoring_only,d3c3,,g3g4,4,-23.4296875,-21.8125,,-1.6171875,False,False,True,False
SX2rv,scoring_only,f6g5,,g7g5,5,-22.0078125,-16.9140625,,-5.09375,False,False,True,False
ELuQg,scoring_only,f8e7,,g7g6,3,-18.1162109375,-16.35546875,,-1.7607421875,False,True,True,False
dtp9f,scoring_only,c2g6,,e7e8,7,-26.8046875,-17.37890625,,-9.42578125,False,False,False,False
i10NI,scoring_only,b3a4,,f2f3,3,-23.26953125,-19.27734375,,-3.9921875,False,True,True,False
k8YpU,scoring_only,e5e4,,e7e8,4,-19.6796875,-17.13671875,,-2.54296875,False,False,True,False
ncaqo,scoring_only,g5g6,,g7g8,6,-21.4921875,-18.1328125,,-3.359375,False,False,False,False
w1v9S,scoring_only,d5d6,,g8f8,7,-22.1875,-17.8359375,,-4.3515625,False,False,False,False
VYJU3,scoring_only,d3a6,,d3e4,6,-26.15625,-22.80859375,,-3.34765625,False,False,False,False
3P3lL,scoring_only,h2h4,,h2h4,1,-17.234375,-17.234375,,0.0,True,True,True,False
URiVe,scoring_only,b1b4,,b1b4,1,-20.796875,-20.796875,,0.0,True,True,True,False
tyrhq,scoring_only,e7d7,,e7d7,1,-17.37890625,-17.37890625,,0.0,True,True,True,False
SbvGn,scoring_only,d5e4,,e5e6,4,-22.484375,-21.5859375,,-0.8984375,False,False,True,False
PfZob,scoring_only,f7e7,,h2h4,6,-24.6875,-18.890625,,-5.796875,False,False,False,False
HyQm3,scoring_only,f3f2,,g2g3,7,-23.640625,-18.046875,,-5.59375,False,False,False,False
Da4qD,scoring_only,e6d6,,e6e5,6,-20.625,-17.81640625,,-2.80859375,False,False,False,False
Ftwet,scoring_only,d7b6,,d7c5,3,-19.7109375,-17.25,,-2.4609375,False,True,True,False
zDoiQ,scoring_only,g7g8,,g7g8,1,-19.5234375,-19.5234375,,0.0,True,True,True,False
kIjcJ,scoring_only,a7a5,,a7a5,1,-17.5078125,-17.5078125,,0.0,True,True,True,False
vOyHq,scoring_only,f3e4,,f6f7,5,-22.7109375,-20.09375,,-2.6171875,False,False,True,False
apctn,scoring_only,g7g6,,g7g6,1,-16.8515625,-16.8515625,,0.0,True,True,True,False
5Zepl,scoring_only,e6e7,,h2h3,4,-20.65625,-17.515625,,-3.140625,False,False,True,False
gYZU2,scoring_only,a7b8,,a7a8,3,-19.515625,-17.953125,,-1.5625,False,True,True,False
yIzoA,scoring_only,d1d2,,d1d2,1,-20.9921875,-20.9921875,,0.0,True,True,True,False
U8IpH,scoring_only,a8h8,,g3g4,4,-23.3359375,-22.23046875,,-1.10546875,False,False,True,False
ZHIgj,scoring_only,d7e7,,d7d8,4,-21.953125,-18.796875,,-3.15625,False,False,True,False
E04eO,scoring_only,e1e2,,e1e2,1,-19.74609375,-19.74609375,,0.0,True,True,True,False
77KFr,scoring_only,b5c6,,a5a4,3,-22.140625,-19.9375,,-2.203125,False,True,True,False
GKpUv,scoring_only,a8b8,,a8b8,1,-19.19140625,-19.19140625,,0.0,True,True,True,False
R2Ztu,scoring_only,g1f1,,g1f1,1,-16.9765625,-16.9765625,,0.0,True,True,True,False
HbVvI,scoring_only,a1c1,,a1c1,1,-18.703125,-18.703125,,0.0,True,True,True,False
Vpdi7,scoring_only,g3h4,,f2f3,2,-22.3671875,-19.1484375,,-3.21875,False,True,True,False
zDwOn,scoring_only,b3b4,,a5a6,2,-23.296875,-21.0390625,,-2.2578125,False,True,True,False
4cNfD,scoring_only,d7d3,,d7d8,2,-20.8984375,-20.0234375,,-0.875,False,True,True,False
wjcCS,scoring_only,f7e7,,g7g5,5,-20.84375,-17.75,,-3.09375,False,False,True,False
v97Y0,scoring_only,d7c7,,d7d8,3,-18.5234375,-17.875,,-0.6484375,False,True,True,False
Lc4KS,scoring_only,g4h4,,g4g5,3,-23.1484375,-22.515625,,-0.6328125,False,True,True,False
zIti8,scoring_only,a8c8,,d8d7,3,-19.84375,-19.078125,,-0.765625,False,True,True,False
Hc1jN,scoring_only,c8f8,,c8c7,6,-23.578125,-19.9765625,,-3.6015625,False,False,False,False
l5PeI,scoring_only,e6d7,,e6e7,4,-20.7734375,-18.5234375,,-2.25,False,False,True,False
mQQu4,scoring_only,d5f5,,g8h7,7,-23.953125,-17.0771484375,,-6.8759765625,False,False,False,False
iXiDq,scoring_only,d4d5,,d4d5,1,-21.1796875,-21.1796875,,0.0,True,True,True,False
2hEbU,scoring_only,e7f8,,e7e6,6,-19.52734375,-15.69140625,,-3.8359375,False,False,False,False
vwqN0,scoring_only,a3a1,,e1d1,2,-22.3515625,-18.0859375,,-4.265625,False,True,True,False
xADUV,scoring_only,f6b6,,g7g8,5,-23.703125,-19.125,,-4.578125,False,False,True,False
vprZK,scoring_only,e8e7,,e8e7,1,-17.3828125,-17.3828125,,0.0,True,True,True,False
HdZlB,scoring_only,g4g2,,h7h8,7,-26.59375,-18.8828125,,-7.7109375,False,False,False,False
CIW0X,scoring_only,b6b5,,b7a7,7,-21.265625,-19.52734375,,-1.73828125,False,False,False,False
LSmFL,scoring_only,g6g7,,g6g7,1,-22.421875,-22.421875,,0.0,True,True,True,False
Sgwr0,scoring_only,e3h3,,f6f7,7,-26.7421875,-19.84375,,-6.8984375,False,False,False,False
Lphsj,scoring_only,b3b4,,h1g1,7,-23.55078125,-18.0830078125,,-5.4677734375,False,False,False,False
NT8FO,scoring_only,f5e5,,f5f6,2,-23.5078125,-21.359375,,-2.1484375,False,True,True,False
utUIY,scoring_only,f8c5,,f1e1,4,-22.0625,-19.5625,,-2.5,False,False,True,False
aevnG,scoring_only,b2c3,,e6e7,3,-20.84375,-20.078125,,-0.765625,False,True,True,False
r255J,scoring_only,c4c1,,g7g5,7,-24.359375,-17.78125,,-6.578125,False,False,False,False
CQDvs,scoring_only,b5b6,,a6b6,4,-23.4765625,-21.5546875,,-1.921875,False,False,True,False
uSOnS,scoring_only,a4a3,,e8c8,6,-24.109375,-17.96875,,-6.140625,False,False,False,False
gY8HY,scoring_only,f4f3,,g6g7,3,-23.7890625,-23.4765625,,-0.3125,False,True,True,False
0qHfo,scoring_only,b4b5,,a7a8,3,-23.46875,-19.4296875,,-4.0390625,False,True,True,False
LFQho,scoring_only,a7a4,,a7a8,2,-21.53125,-19.5390625,,-1.9921875,False,True,True,False
qEHyk,scoring_only,a1c1,,e7e8,3,-20.01953125,-17.359375,,-2.66015625,False,True,True,False
QfjW9,scoring_only,f4e5,,d4e5,3,-22.859375,-22.1796875,,-0.6796875,False,True,True,False
PNSQk,scoring_only,f8h7,,f8d7,2,-19.4296875,-18.5703125,,-0.859375,False,True,True,False
3Y23P,scoring_only,f7f5,,f7f5,1,-17.296875,-17.296875,,0.0,True,True,True,False
PdqBL,scoring_only,e7e6,,e7e8,2,-17.83203125,-17.58203125,,-0.25,False,True,True,False
3Z3ab,scoring_only,c1c7,,c1c7,1,-20.796875,-20.796875,,0.0,True,True,True,False
nU0Rx,scoring_only,b2b4,,b2b4,1,-21.3046875,-21.3046875,,0.0,True,True,True,False
SNEgV,scoring_only,g8h7,,g8h7,1,-17.046875,-17.046875,,0.0,True,True,True,False
QweDL,scoring_only,e3f4,,e3f4,1,-23.453125,-23.453125,,0.0,True,True,True,False
r3V4r,scoring_only,d3e3,,b2b3,7,-24.5859375,-20.2421875,,-4.34375,False,False,False,False
mej8x,scoring_only,f8e8,,f8c8,4,-21.546875,-20.46875,,-1.078125,False,False,True,False
HpXMS,scoring_only,c4d4,,c4d4,1,-22.1796875,-22.1796875,,0.0,True,True,True,False
n2qbI,scoring_only,a8c8,,e8e7,6,-20.1015625,-16.9921875,,-3.109375,False,False,False,False
mxx8B,scoring_only,f4g4,,f4f3,3,-23.3125,-22.296875,,-1.015625,False,True,True,False
PegvE,scoring_only,f5e4,,f5e4,1,-21.8515625,-21.8515625,,0.0,True,True,True,False
6UxiQ,scoring_only,b3a2,,b3a4,3,-24.78125,-23.8359375,,-0.9453125,False,True,True,False
P3y0d,scoring_only,g5g4,,f6f7,4,-22.84375,-19.9921875,,-2.8515625,False,False,True,False
rcpNA,scoring_only,f3f4,,b1c3,4,-22.88671875,-17.7578125,,-5.12890625,False,False,True,False
ZezjX,scoring_only,a1g1,,g3g4,2,-23.353515625,-22.66796875,,-0.685546875,False,True,True,False
c87ma,scoring_only,c8c3,,c8b8,3,-20.2265625,-18.453125,,-1.7734375,False,True,True,False
sHnnl,scoring_only,d3e3,,d4d5,6,-24.46875,-22.0234375,,-2.4453125,False,False,False,False
H3SAv,scoring_only,f4f5,,f4f5,1,-20.9453125,-20.9453125,,0.0,True,True,True,False
jBbUz,scoring_only,g3g4,,b1c1,7,-21.79296875,-17.240234375,,-4.552734375,False,False,False,False
KJ6xQ,scoring_only,e4e5,,f4f5,3,-21.796875,-20.63671875,,-1.16015625,False,True,True,False
nLvyu,scoring_only,c4d5,,e2d3,7,-22.2109375,-19.640625,,-2.5703125,False,False,False,False
eJT8K,scoring_only,f3g4,,f3f4,3,-23.8359375,-22.11328125,,-1.72265625,False,True,True,False
vXngG,scoring_only,a5a4,,e6e7,5,-20.0390625,-18.578125,,-1.4609375,False,False,True,False
gvA77,scoring_only,f7f4,,f7f4,1,-19.03125,-19.03125,,0.0,True,True,True,False
Dm5hy,scoring_only,d3c3,,h3h4,4,-24.296875,-20.484375,,-3.8125,False,False,True,False
4VyFC,scoring_only,c1c8,,c1c8,1,-21.515625,-21.515625,,0.0,True,True,True,False
yGzHN,scoring_only,e2c3,,e2f4,3,-19.3671875,-17.521484375,,-1.845703125,False,True,True,False
rKgYv,scoring_only,h5g4,,h3h4,2,-20.6484375,-20.01171875,,-0.63671875,False,True,True,False
8bo4k,scoring_only,b8e8,,b8e8,1,-25.0625,-25.0625,,0.0,True,True,True,False
hQF8r,scoring_only,g6h5,,h7g8,2,-22.984375,-20.71875,,-2.265625,False,True,True,False
sV2a4,scoring_only,c4c3,,c4c5,3,-23.1484375,-21.90234375,,-1.24609375,False,True,True,False
NHJ7m,scoring_only,f8c8,,g8h8,2,-20.859375,-20.15625,,-0.703125,False,True,True,False
tXSzK,scoring_only,g2g3,,g2g3,1,-18.5625,-18.5625,,0.0,True,True,True,False
XWMn8,scoring_only,f1b5,,f1b5,1,-20.046875,-20.046875,,0.0,True,True,True,False
E5n3V,scoring_only,d3c2,,d3c4,3,-24.96875,-23.2109375,,-1.7578125,False,True,True,False
Pt8Wh,scoring_only,c5c1,,h2h4,6,-24.578125,-17.953125,,-6.625,False,False,False,False
tlhqi,scoring_only,d5c4,,d5c4,1,-20.546875,-20.546875,,0.0,True,True,True,False
EZ8V0,scoring_only,a6b5,,a2a4,4,-20.34375,-18.46875,,-1.875,False,False,True,False
9tJ4L,scoring_only,e5f4,,e5f4,1,-21.84375,-21.84375,,0.0,True,True,True,False
977KP,scoring_only,d4d3,,d1d3,4,-23.4453125,-20.59375,,-2.8515625,False,False,True,False
GBlM4,scoring_only,e8e6,,e8e6,1,-18.3671875,-18.3671875,,0.0,True,True,True,False
MZpEw,scoring_only,b5c6,,g8h7,6,-23.53125,-17.673828125,,-5.857421875,False,False,False,False
MndOq,scoring_only,b4a4,,g6g5,4,-23.2265625,-21.125,,-2.1015625,False,False,True,False
5TtQ6,scoring_only,c3e2,,d4c4,6,-23.203125,-21.5078125,,-1.6953125,False,False,False,False
cV9av,scoring_only,b6b5,,c6c5,4,-23.4140625,-19.40234375,,-4.01171875,False,False,True,False
Jiupk,scoring_only,d4d3,,h6g5,4,-23.96875,-20.8203125,,-3.1484375,False,False,True,False
HNkVI,scoring_only,f8e6,,f8d7,4,-22.265625,-21.2890625,,-0.9765625,False,False,True,False
ujuMU,scoring_only,e6h3,,e6f5,7,-25.03125,-19.5078125,,-5.5234375,False,False,False,False
hH9UZ,scoring_only,e2e3,,e2e3,1,-16.90625,-16.90625,,0.0,True,True,True,False
OeJ01,scoring_only,c2c3,,c2c3,1,-17.30078125,-17.30078125,,0.0,True,True,True,False
ZLmLu,scoring_only,g4d7,,d8d7,5,-24.6015625,-20.9609375,,-3.640625,False,False,True,False
c6EK4,scoring_only,c1a1,,f1e1,7,-21.328125,-20.046875,,-1.28125,False,False,False,False
v3BkQ,scoring_only,d4d5,,h2h4,4,-21.3359375,-17.3671875,,-3.96875,False,False,True,False
M3sHr,scoring_only,d5d3,,d5e5,2,-24.28125,-23.5703125,,-0.7109375,False,True,True,False
NBRpY,scoring_only,d5e4,,e1f1,2,-23.1640625,-18.36328125,,-4.80078125,False,True,True,False
khTtu,scoring_only,c4a3,,c4d2,3,-23.265625,-22.8046875,,-0.4609375,False,True,True,False
ypK1p,scoring_only,a8a1,,g7g6,4,-20.9453125,-16.32421875,,-4.62109375,False,False,True,False
7F1Ki,scoring_only,e8e7,,e8e7,1,-17.125,-17.125,,0.0,True,True,True,False
RgCGm,scoring_only,g5g6,,g5g6,1,-22.65625,-22.65625,,0.0,True,True,True,False
7MVnh,scoring_only,c1c3,,c1c4,3,-19.5078125,-19.140625,,-0.3671875,False,True,True,False
yjsCd,scoring_only,h3g3,,h3g3,1,-22.84375,-22.84375,,0.0,True,True,True,False
1Sv76,scoring_only,f6f8,,f6f8,1,-22.140625,-22.140625,,0.0,True,True,True,False
2Igqe,scoring_only,a5b4,,c5c4,4,-21.046875,-18.49609375,,-2.55078125,False,False,True,False
HYCOc,scoring_only,c5c4,,g7g6,2,-18.34375,-17.0625,,-1.28125,False,True,True,False
pgjec,scoring_only,g7g6,,g7g6,1,-16.375,-16.375,,0.0,True,True,True,False
6AH2V,scoring_only,a1e1,,f2f3,2,-21.625,-18.953125,,-2.671875,False,True,True,False
5X5ot,scoring_only,a6b6,,a6b6,1,-19.2421875,-19.2421875,,0.0,True,True,True,False
oX4Em,scoring_only,f3g3,,h5h6,3,-24.71875,-20.2890625,,-4.4296875,False,True,True,False
Nejpc,scoring_only,a8g2,,a8d8,7,-27.65625,-21.625,,-6.03125,False,False,False,False
UXgoT,scoring_only,g6f6,,h8g8,6,-22.8046875,-20.515625,,-2.2890625,False,False,False,False
2kArn,scoring_only,f2f3,,f2f3,1,-19.640625,-19.640625,,0.0,True,True,True,False
Vyltw,scoring_only,e6f5,,e6e5,3,-20.546875,-18.38671875,,-2.16015625,False,True,True,False
OtykF,scoring_only,h6f6,,h6h7,3,-20.5,-19.99609375,,-0.50390625,False,True,True,False
ijBPV,scoring_only,d7a4,,d7d8,6,-24.125,-19.1875,,-4.9375,False,False,False,False
oxfFI,scoring_only,g4g5,,b8c8,2,-22.296875,-19.6796875,,-2.6171875,False,True,True,False
simc6,scoring_only,c3d2,,g6f5,4,-23.2421875,-22.33203125,,-0.91015625,False,False,True,False
oAcTW,scoring_only,f6f7,,f6f5,2,-22.65625,-21.83984375,,-0.81640625,False,True,True,False
bXQ4S,scoring_only,e5e6,,e5e6,1,-20.6484375,-20.6484375,,0.0,True,True,True,False
3C91k,scoring_only,a2a4,,a2a4,1,-19.640625,-19.640625,,0.0,True,True,True,False
Zu7xw,scoring_only,f4f3,,g8f8,4,-21.1015625,-18.4375,,-2.6640625,False,False,True,False
SNOtd,scoring_only,f3e4,,e7e8,7,-22.5234375,-16.6796875,,-5.84375,False,False,False,False
ZZfl0,scoring_only,f2g2,,g7g5,6,-23.984375,-17.578125,,-6.40625,False,False,False,False
FwgrC,scoring_only,b4b3,,g5h4,6,-24.15625,-21.75,,-2.40625,False,False,False,False
cFyan,scoring_only,c2c5,,c2c5,1,-18.6875,-18.6875,,0.0,True,True,True,False
WkWg7,scoring_only,c7f7,,c7c8,6,-24.921875,-19.21484375,,-5.70703125,False,False,False,False
PeP5L,scoring_only,e8d7,,e8d7,1,-16.3515625,-16.3515625,,0.0,True,True,True,False
2Cl3z,scoring_only,c5c4,,c7c6,2,-18.85546875,-16.015625,,-2.83984375,False,True,True,False
ONtMr,scoring_only,d4f6,,g7g6,7,-23.4140625,-17.33984375,,-6.07421875,False,False,False,False
PB5dV,scoring_only,h6g6,,h6h7,4,-22.296875,-21.6640625,,-0.6328125,False,False,True,False
6Gpig,scoring_only,c4c5,,d4d5,2,-20.9453125,-20.9140625,,-0.03125,False,True,True,False
Ap4wd,scoring_only,a3e3,,e8d8,7,-26.203125,-19.0703125,,-7.1328125,False,False,False,False
OHptG,scoring_only,g3g2,,g1f1,7,-25.21875,-16.703125,,-8.515625,False,False,False,False
xQd1m,scoring_only,c4c5,,c4c5,1,-21.03125,-21.03125,,0.0,True,True,True,False
3JB7j,scoring_only,d2d1q,,c1b1,3,-22.9375,-18.6796875,,-4.2578125,False,True,True,False
UfPl5,scoring_only,f3f4,,e3e4,2,-22.14453125,-21.62890625,,-0.515625,False,True,True,False
FaVQH,scoring_only,c6c5,,c6c5,1,-20.05078125,-20.05078125,,0.0,True,True,True,False
MAncS,scoring_only,f2f5,,f2f5,1,-22.984375,-22.984375,,0.0,True,True,True,False
6b1AF,scoring_only,e3e2,,e3e4,5,-24.09375,-21.53515625,,-2.55859375,False,False,True,False
ziJzK,scoring_only,d8d5,,d8d5,1,-20.078125,-20.078125,,0.0,True,True,True,False
